rank,lemma,subtitle_count,band,n_forms_seen
1,byť,4568259,1,19
2,to,1870542,1,4
3,sa,1198397,1,1
4,a,926432,1,1
5,ja,883665,1,6
6,na,745748,1,1
7,že,741592,1,1
8,mať,700434,1,20
9,čo,656760,1,5
10,v,603272,1,2
11,ty,570311,1,6
12,nie,557413,1,3
13,on,538260,1,12
14,ako,423659,1,1
15,s,401077,1,2
16,vedieť,380168,1,19
17,môcť,367512,1,19
18,tak,345850,1,1
19,ale,344074,1,2
20,by,341184,1,1
21,ísť,288533,1,20
22,o,276575,1,1
23,tu,276477,1,1
24,môj,268844,1,12
25,chcieť,261835,1,23
26,do,259494,1,1
27,ona,253302,1,7
28,vy,251562,1,4
29,povedať,250691,1,23
30,z,249718,1,2
31,tá,246840,1,8
32,áno,227116,1,1
33,myslieť,220842,1,24
34,musieť,214863,1,21
35,všetok,214383,1,12
36,len,211456,1,1
37,dobre,186335,1,2
38,už,185412,1,1
39,aby,184760,1,1
40,ktorý,176380,1,12
41,my,175493,1,4
42,keď,172803,1,1
43,ak,163119,1,1
44,toto,159004,1,5
45,za,156301,1,1
46,robiť,147499,1,24
47,niečo,139923,1,5
48,tvoj,139435,1,12
49,pre,138461,1,1
50,tam,135412,1,1
51,prečo,134484,1,1
52,vidieť,133750,1,20
53,no,125833,1,1
54,svoj,125261,1,14
55,teraz,123820,1,1
56,hovoriť,122358,1,24
57,aj,122313,1,1
58,hej,121500,1,1
59,dať,118307,1,24
60,jeden,110651,1,12
61,urobiť,109228,1,24
62,ten,107934,1,2
63,kto,107474,1,4
64,pán,106612,1,7
65,k,103229,1,2
66,človek,102804,1,7
67,veľa,99996,1,4
68,dobrý,99170,1,12
69,nič,98223,1,4
70,takže,98007,1,1
71,prísť,95586,1,24
72,táto,92619,1,8
73,váš,92590,1,12
74,kde,91404,1,1
75,dostať,91001,1,22
76,po,87185,1,1
77,ešte,86038,1,1
78,pozrieť,85382,1,20
79,potrebovať,84157,1,21
80,alebo,82230,1,1
81,náš,81277,1,12
82,jeho,80265,1,1
83,nájsť,77067,1,22
84,vec,76147,1,7
85,poriadok,76076,1,5
86,od,75838,1,2
87,niekto,74419,1,5
88,prosiť,74391,1,13
89,veľmi,73232,1,1
90,taký,72009,1,12
91,potom,71534,1,1
92,nikdy,71518,1,1
93,možno,71437,1,2
94,ani,69363,1,1
95,nejaký,67900,1,12
96,rok,67744,1,8
97,čas,66800,1,9
98,aký,65148,1,12
99,ďakovať,65120,1,7
100,deň,65111,1,8
101,nechať,63808,1,24
102,stať,62570,1,19
103,rád,61346,1,9
104,žiaden,60353,1,12
105,dva,59511,1,7
106,otec,59180,1,6
107,život,59033,1,9
108,boh,58391,1,9
109,naozaj,58169,1,1
110,stále,57241,1,1
111,počuť,57117,1,22
112,chodiť,57093,1,23
113,pretože,56491,1,1
114,prepáčiť,56375,1,3
115,celý,55913,1,14
116,veľký,54688,1,12
117,zabiť,54125,1,24
118,každý,53726,1,12
119,pred,53720,1,2
120,ahoj,52375,1,1
121,pomôcť,52005,1,22
122,vrátiť,51327,1,22
123,pravda,50766,1,5
124,dieťa,50470,1,10
125,iný,49095,1,12
126,vyzerať,48850,1,20
127,práca,48251,1,8
128,počkať,47779,1,14
129,sem,47179,1,1
130,dnes,46424,1,1
131,žena,46046,1,9
132,nikto,45872,1,6
133,práve,44995,1,1
134,spraviť,44865,1,23
135,volať,44772,1,21
136,istý,44736,1,15
137,mama,44281,1,4
138,miesto,44105,1,8
139,seba,43874,1,3
140,tento,43870,1,3
141,muž,43752,1,8
142,veriť,43486,1,24
143,skoro,42591,1,8
144,či,42186,1,1
