id,lemma,rank,band,pos,gender,aspect,ipa,gloss_en_current,gloss_en_new,gloss_ro_current,gloss_ro_new,example_sk,example_en,register_flag,cognate_ro,notes,verdict
sk:v,v,10,1,ADP,,,/v/,,,în,,V každom prípade.,Of course.,,,,
sk:tak,tak,18,1,,,,,,,așa; deci,,Tak sa hovorí.,So they say.,,,,
sk:tu,tu,23,1,,,,,,,aici,,Tu je plán.,Here's the plan.,,,,
sk:už,už,38,1,,,,,,,deja,,Už som skončil.,I've already finished.,,,,
sk:aby,aby,39,1,,,,,,,ca să; pentru ca,,"Chcem, aby prišiel.",I want him to come.,,,,
sk:toto,toto,44,1,,,,,,,acesta; asta,,Je toto rieka?,Is this a river?,,,,
sk:za,za,45,1,ADP,,,/za/,,,după; pentru; în spatele,,Ďakujem za vysvetlenie.,Thanks for your explanation.,,,,
sk:k,k,65,1,ADP,,,/k/,,,către; la,,Blahoželám k víťazstvu!,Congratulations on your victory!,,,,
sk:táto,táto,72,1,,,,,,,aceasta; asta,,Potrebuješ túto knihu?,Do you need this book?,,,,
sk:pozrieť,pozrieť,78,1,,,,,,,a se uita; a privi (perfectiv),,Pozri sa dozadu!,Look backward!,,,,
sk:prosiť,prosiť,88,1,,,,,,,a ruga; a cere,,"Prosím, zadržte dych.","Hold your breath, please.",,,,
sk:potom,potom,91,1,,,,,,,apoi; după aceea,,Potom ti zavolám.,I'll call you later.,,,,
sk:nikdy,nikdy,92,1,,,,,,,niciodată,,Toto nikdy neskončí.,This is never going to end.,,,,
sk:nejaký,nejaký,95,1,,,,,,,vreun; un oarecare,,Máte nejaké otázky?,Do you have any questions?,,,,
sk:nechať,nechať,101,1,,,,,,,a lăsa,,Nechajte zapnuté svetlá.,Keep the lights on.,,,,
sk:pred,pred,119,1,,,,,,,înainte de; în fața,,Utekajú pred zákonom.,They're running away from the law.,,,,
sk:počkať,počkať,128,1,,,,,,,a aștepta,,"Prosím, počkajte tu.",Please wait here.,,,,
sk:sem,sem,129,1,,,,,,,încoace; aici,,Vráť sa sem.,Come back here.,,,,
sk:veriť,veriť,142,1,,,,,,,a crede,,"„Ver mi,“ povedal.","""Trust me,"" he said.",,,,
sk:keby,keby,149,1,,,,,,,dacă (ireal),,Keby som len vedel!,If only I knew!,,,,
sk:vždy,vždy,150,1,,,,,,,întotdeauna,,Vždy sa sťažujú.,They always complain.,,,,
sk:sám,sám,153,1,,,,,,,singur; însuși,,Prečo si sama?,Why are you alone?,,,,
sk:trochu,trochu,154,1,,,,,,,puțin,,Pridajte trochu mlieka.,Add a little milk.,,,,
sk:cítiť,cítiť,155,1,,,,,,,a simți,,Cítim sa požehnaným.,I feel blessed.,,,,
sk:pri,pri,156,1,ADP,,,/pri/,,,lângă; la,,Tom žije pri jazere.,Tom lives by the lake.,,,,
sk:jasný,jasný,162,1,,,,,,,clar; limpede,,To je jasné.,Of course.,,,,
sk:snažiť,snažiť,169,1,,,,,,,a se strădui; a încerca,,Snažím sa neplakať.,I'm trying not to cry.,,,,
sk:ok,ok,170,1,,,,,,,ok; bine,,,,,,,
sk:ký,ký,171,1,,,,,,,care (arhaic),,"Kým dýcham, dúfam.","While I breathe, I hope.",,,,
sk:až,až,172,1,,,,,,,până; abia; chiar,,Vrátim sa až budúci týždeň.,I won't be back until next week.,,,,
sk:diať,diať,173,1,,,,,,,a se întâmpla,,Deje sa niečo zvláštne.,Something strange is happening.,,,,
sk:presne,presne,174,1,,,,,,,exact,,Vlak vyrazil presne načas.,The train pulled out exactly on time.,,,,
sk:vážne,vážne,175,1,,,,,,,serios,,Vážne? Kedy odišiel?,"Oh, really? When did he leave?",,,,
sk:zavolať,zavolať,178,1,,,,,,,a chema; a suna (perfectiv),,Rýchlo zavolajte lekára!,Call a doctor quickly!,,,,
sk:páčiť,páčiť,194,1,,,,,,,a plăcea (mi se pare frumos),,Nech sa páči.,Here you go.,,,,
sk:však,však,195,1,,,,,,,totuși; nu-i așa?,,"Krásna je, však?","She's beautiful, isn't she?",,,,
sk:pár,pár,205,1,,,,,,,câțiva; o pereche,,Urobil som pár zmien.,I made a few changes.,,,,
sk:nech,nech,206,1,,,,,,,să (lasă să),,Nech žije Bielorusko!,Long live the Belarus!,,,,
