id,lemma,rank,band,pos,gender,aspect,ipa,gloss_en_current,gloss_en_new,gloss_ro_current,gloss_ro_new,example_sk,example_en,register_flag,cognate_ro,notes,verdict
sk:byť,byť,1,1,VERB,,impf,/bic/,to be,,a fi,,Prečo si sama?,Why are you alone?,,,,
sk:to,to,2,1,PRON,,,,"nominative/accusative neuter singular of ten: it, this, that",,asta; aceasta; o,,Nevystavujte to dažďu!,Don't expose it to the rain.,,,,
sk:sa,sa,3,1,PRON,,,/sa/,accusative of seba,,se; pe sine,,Volám sa Sally.,My name is Sally.,,,,
sk:a,a,4,1,CCONJ,,,/a/,and,,și,,A prečo nie?,And why not?,,,,
sk:ja,ja,5,1,PRON,,,/ja/,I,,eu,,Ja viem niečo!,I know something!,,,,
sk:na,na,6,1,ADP,,,/ˈna/,"on (touching from above); by, with, using (indicates a means or an instrument); at (indicates time); at, because of (indicates reason)",,pe; la,,Poľovali na líšky.,They hunted foxes.,,,,
sk:že,že,7,1,CCONJ,,,/ʒe/,"that (used for connecting clauses, for example with reported speech)",,că,,"Viem, že neklameš.",I know you're not lying.,,,,
sk:mať,mať,8,1,VERB,,impf,/mac/,to have; to be supposed to,,a avea; a trebui (să),,Má dvadsať detí.,He has twenty children.,,,,
sk:čo,čo,9,1,PRON,,,/ˈt͡ʃɔ/,what,,ce,,Čo jedia tigre?,What do tigers eat?,,,,
sk:v,v,10,1,ADP,,,/v/,,,în,,V každom prípade.,Of course.,,,,
sk:ty,ty,11,1,PRON,,,/ti/,you; thou,,tu,,Spravím ťa šťastnou.,I'll make you happy.,,,,
sk:nie,nie,12,1,INTJ,,,/ɲɪ̯e/,no,,nu,,Nie som smädný.,I am not thirsty.,,,,
sk:on,on,13,1,PRON,,,/ɔn/,"he, it (third-person singular pronoun)",,el,,Matka ich opustila.,They were abandoned by their mother.,,,,
sk:ako,ako,14,1,CCONJ,,,/akɔ/,as; like,,cum; ca,,Ako to ide?,How's that going?,,,,
sk:s,s,15,1,ADP,,,/s/,with,,cu,,Pracujú s nami.,They work with us.,,,,
sk:vedieť,vedieť,16,1,VERB,,impf,/veɟɪ̯ec/,"to know; can, be able to",,a ști; a putea (a fi în stare),,Chcem to vedieť?,Do I wanna know?,,,,
sk:môcť,môcť,17,1,VERB,,impf,/mu̯ɔt͡sc/,"may, be allowed to",,a putea; a avea voie,,Môžeš to napísať?,Can you write it down?,,,,
sk:tak,tak,18,1,,,,,,,așa; deci,,Tak sa hovorí.,So they say.,,,,
sk:ale,ale,19,1,,,,,but,,dar; însă,,To je ale prekvapenie!,What a surprise!,,,,
sk:by,by,20,1,PART,,,/bi/,"Used to form the conditional mood: would.; Used as an independent part of some conjunctions, often expressing comparison or concession.",,particulă de condițional: ar,,Mal by si prísť.,You should come over.,,,,
sk:ísť,ísť,21,1,VERB,,impf,/iːsc/,"to walk, to go (to move by taking steps, of people or animals); to go, to travel, to ride (to move using a means of transport); to go (to move to a place with a specific purpose or goal); to go, to move (of objects or phenomena: to be in motion or be transferred)",,a merge; a se duce,,Ako to ide?,How's that going?,,,,
sk:o,o,22,1,ADP,,,/ɔ/,"about, concerning; at (indicates time); against, over, on (indicates the point of contact with another object); by, often translated with a noun accompanied by an indefinite article or a numeral (indicates measure or degree)",,despre; la (oră),,O čom hovoríš?,What are you talking about?,,,,
sk:tu,tu,23,1,,,,,,,aici,,Tu je plán.,Here's the plan.,,,,
sk:môj,môj,24,1,PRON,,,/mu̯ɔj/,"my, mine",,meu; mea,,Nepodceňujte moju moc.,Don't underestimate my power.,,,,
sk:chcieť,chcieť,25,1,VERB,,impf,/xt͡sɪ̯ec/,to want,,a vrea; a dori,,Chce ju pobozkať.,He wants to kiss her.,,,,
sk:do,do,26,1,ADP,,,/ˈdɔ/,"into, in, to, until",,în; până la,,Nejdeme do Bieloruska?,Aren't we going to Belarus?,,,,
sk:ona,ona,27,1,PRON,,,/ɔna/,feminine nominative singular of on (“she”),,ea,,Chce ju pobozkať.,He wants to kiss her.,,,,
sk:vy,vy,28,1,PRON,,,/vi/,you,,voi; dumneavoastră,,Vy ste študovali.,You guys were studying.,,,,
sk:povedať,povedať,29,1,VERB,,pf,/pɔvedac/,to tell,,a spune; a zice,,Nič nemusím povedať.,I don't have to say anything.,,,,
sk:z,z,30,1,ADP,,,/z/,from,,din; de la,,Neodchádzajte z mesta.,Don't leave town.,,,,
sk:tá,tá,31,1,PRON,,,,nominative feminine singular of ten,,aceea; acea,,Nenávidím tie slová.,I hate these words.,,,,
sk:áno,áno,32,1,INTJ,,,/aːnɔ/,yes,,da,,"Áno, som ženatý.","Yes, I am married.",,,,
