id,sk,en,ro_current,ro_new,band,spoken_rank_max,native_author,register_flags,sounds_natural,natives_say,notes,verdict
tat:1035706,Prečo si sama?,Why are you alone?,,,1,153,yes,,,,,
tat:1036055,Sme jeho deti.,We are his children.,,,1,124,yes,,,,,
tat:1036063,Kto je ďalší?,Who is next?,,,1,166,yes,,,,,
tat:1036065,Ako to ide?,How's that going?,,,1,21,yes,,,,,
tat:1036127,Nerozumiem tomu slovu.,I don't understand this word.,,,1,296,yes,,,,,
tat:1036395,"Myslím, teda som.","I think, therefore I am.",,,1,202,yes,,,,,
tat:1044701,Milujem Evelinu Sašenko.,I love Evelina Sašenko.,,,1,188,yes,,,,,
tat:1046966,Volám sa Sally.,My name is Sally.,,,1,135,yes,,,,,
tat:1047004,Koľko to stojí?,How much is it?,,,1,284,yes,,,,,
tat:2106890,Volám sa Dušana.,I am called Dusanna.,,,1,135,yes,,,,,
tat:4403638,Pamätám si to.,I remember that.,,,1,257,yes,,,,,
tat:4403641,To si pamätám.,I remember that.,,,1,257,yes,,,,,
tat:4403643,Pamätám si ich.,I remember them.,,,1,257,yes,,,,,
tat:4404771,Chcem to vedieť?,Do I wanna know?,,,1,25,yes,,,,,
tat:4404851,Ona je Kanaďanka.,,,,1,27,yes,,,,,
tat:4404915,Ja viem niečo!,I know something!,,,1,47,yes,,,,,
tat:4404916,Ja niečo viem!,I know something!,,,1,47,yes,,,,,
tat:4405683,"Tvoje meno, prosím.","Your name, please.",,,1,226,yes,,,,,
tat:4980546,Nemôže ma zastaviť.,,,,1,261,yes,,,,,
tat:4980558,Kam teraz idú?,,,,1,254,yes,,,,,
tat:4980568,"Neviete, kto som.",,,,1,63,yes,,,,,
tat:5007476,Nemám rád Facebook.,I don't like Facebook.,,,1,103,yes,,,,,
tat:5007481,Si skvelý človek.,,,,1,225,yes,,,,,
tat:5011710,Mám toho dosť.,I've had enough.,,,1,177,yes,,,,,
tat:5084178,Ukáž mi to.,Show it to me.,,,1,222,yes,,,,,
tat:5100410,Mali ma radi.,,,,1,103,yes,,,,,
tat:5162655,Pôjde svojou cestou.,,,,1,161,yes,,,,,
tat:5195462,Si v Paríži?,,,,1,10,yes,,,,,
tat:5278474,Veľa ľudí zomrelo.,,,,1,192,yes,,,,,
tat:5303022,Čo ideš robiť?,,,,1,46,yes,,,,,
tat:5303081,Kedy príde domov?,,,,1,213,yes,,,,,
tat:5312551,Niečoho nemáme dosť.,,,,1,177,yes,,,,,
tat:5312579,To bude dobré.,,,,1,68,yes,,,,,
tat:5313859,Dnes večer nepracuje.,,,,1,196,yes,,,,,
tat:5356585,Máte jeden druhého.,,,,1,207,yes,,,,,
tat:5604161,Čo ešte máš?,,,,1,77,yes,,,,,
tat:6141215,Prečo to robíš?,Why are you doing this?,,,1,51,yes,,,,,
tat:6141817,Možno je mŕtvy.,,,,1,233,yes,,,,,
tat:6148988,Si už pripravený?,,,,1,272,yes,,,,,
tat:6149636,Tom ťa nezastaví.,Tom won't stop you.,,,1,261,yes,,,,,
